Name	Description
DEVELOPER_ID	各開発者のID
DEVELOPER_NAME	各開発者の名称
DEVELOPER_TEAMS_AS_MEMBER	各開発者のメンバーとして所属するチームID(複数)
DEVELOPER_TEAMS_AS_MAINTAINER	各開発者のメンテナーとして所属するチームID(複数)
DEVELOPER_COMMITTED_PR_COUNT	各開発者に関するコミッターとして活動したPullRequest数
DEVELOPER_COMMITTED_PR_SIZE_AVERAGE	各開発者に関するコミッターとして活動したPullRequestによる平均変更行数
DEVELOPER_REVIEWED_PR_COUNT	各開発者に関するレビュアーとして活動したPullRequest数
DEVELOPER_REVIEWED_PR_SIZE_AVERAGE	各開発者に関するレビュアーとして活動したPullRequestによる平均変更行数
DEVELOPER_PR_TYPE_BUGFIX_COUNT	各開発者に関するバグ改修PullRequest数
DEVELOPER_PR_TYPE_ENHANCEMENT_COUNT	各開発者に関する機能拡張PullRequest数
DEVELOPER_PR_TYPE_CONFIGURATION_COUNT	各開発者に関する設定変更PullRequest数
DEVELOPER_PR_TYPE_REFACTORING_COUNT	各開発者に関するリファクタリングPullRequest数
DEVELOPER_PR_TYPE_DOCUMENTATION_COUNT	各開発者に関する資料充足PullRequest数
DEVELOPER_ACCUMULATED_PR_REMEDIATION_TIME_CHANGED	各開発者に関するPullRequest別推定修復時間変動数の累積値
DEVELOPER_ACCUMULATED_PR_LOC_CHANGED	各開発者に関するPullRequest別LOC変動数の累積値
DEVELOPER_ACCUMULATED_PR_ISSUE_COUNT_CHANGED	各開発者に関するPullRequest別指摘数変動数の累積値
